dt;category_main;is_weekend;promo_period;demand_index;category_competition_index
01.07.2024;Одежда;0;none;1.173;1.15
01.07.2024;Обувь;0;none;1.173;1.2
01.07.2024;Красота;0;none;1.0;1.25
01.07.2024;Дом;0;none;1.0;1.05
01.07.2024;Детские товары;0;none;1.0;1.05
01.07.2024;Электроника;0;none;1.0;1.35
01.07.2024;Спорт;0;none;1.0;1.1
01.07.2024;Товары для животных;0;none;1.0;0.95
01.07.2024;Аксессуары;0;none;1.0;1.1
01.07.2024;Канцелярия;0;none;1.0;0.85
02.07.2024;Одежда;0;none;1.173;1.15
02.07.2024;Обувь;0;none;1.173;1.2
02.07.2024;Красота;0;none;1.0;1.25
02.07.2024;Дом;0;none;1.0;1.05
02.07.2024;Детские товары;0;none;1.0;1.05
02.07.2024;Электроника;0;none;1.0;1.35
02.07.2024;Спорт;0;none;1.0;1.1
02.07.2024;Товары для животных;0;none;1.0;0.95
02.07.2024;Аксессуары;0;none;1.0;1.1
02.07.2024;Канцелярия;0;none;1.0;0.85
03.07.2024;Одежда;0;none;1.173;1.15
03.07.2024;Обувь;0;none;1.173;1.2
03.07.2024;Красота;0;none;1.0;1.25
03.07.2024;Дом;0;none;1.0;1.05
03.07.2024;Детские товары;0;none;1.0;1.05
03.07.2024;Электроника;0;none;1.0;1.35
03.07.2024;Спорт;0;none;1.0;1.1
03.07.2024;Товары для животных;0;none;1.0;0.95
03.07.2024;Аксессуары;0;none;1.0;1.1
03.07.2024;Канцелярия;0;none;1.0;0.85
04.07.2024;Одежда;0;none;1.173;1.15
04.07.2024;Обувь;0;none;1.173;1.2
04.07.2024;Красота;0;none;1.0;1.25
04.07.2024;Дом;0;none;1.0;1.05
04.07.2024;Детские товары;0;none;1.0;1.05
04.07.2024;Электроника;0;none;1.0;1.35
04.07.2024;Спорт;0;none;1.0;1.1
04.07.2024;Товары для животных;0;none;1.0;0.95
04.07.2024;Аксессуары;0;none;1.0;1.1
04.07.2024;Канцелярия;0;none;1.0;0.85
05.07.2024;Одежда;0;none;1.173;1.15
05.07.2024;Обувь;0;none;1.173;1.2
05.07.2024;Красота;0;none;1.0;1.25
05.07.2024;Дом;0;none;1.0;1.05
05.07.2024;Детские товары;0;none;1.0;1.05
05.07.2024;Электроника;0;none;1.0;1.35
05.07.2024;Спорт;0;none;1.0;1.1
05.07.2024;Товары для животных;0;none;1.0;0.95
05.07.2024;Аксессуары;0;none;1.0;1.1
05.07.2024;Канцелярия;0;none;1.0;0.85
06.07.2024;Одежда;1;none;1.291;1.15
06.07.2024;Обувь;1;none;1.291;1.2
06.07.2024;Красота;1;none;1.1;1.25
06.07.2024;Дом;1;none;1.1;1.05
06.07.2024;Детские товары;1;none;1.1;1.05
06.07.2024;Электроника;1;none;1.1;1.35
06.07.2024;Спорт;1;none;1.1;1.1
06.07.2024;Товары для животных;1;none;1.1;0.95
06.07.2024;Аксессуары;1;none;1.1;1.1
06.07.2024;Канцелярия;1;none;1.1;0.85
07.07.2024;Одежда;1;none;1.291;1.15
07.07.2024;Обувь;1;none;1.291;1.2
07.07.2024;Красота;1;none;1.1;1.25
07.07.2024;Дом;1;none;1.1;1.05
07.07.2024;Детские товары;1;none;1.1;1.05
07.07.2024;Электроника;1;none;1.1;1.35
07.07.2024;Спорт;1;none;1.1;1.1
07.07.2024;Товары для животных;1;none;1.1;0.95
07.07.2024;Аксессуары;1;none;1.1;1.1
07.07.2024;Канцелярия;1;none;1.1;0.85
08.07.2024;Одежда;0;none;1.173;1.15
08.07.2024;Обувь;0;none;1.173;1.2
08.07.2024;Красота;0;none;1.0;1.25
08.07.2024;Дом;0;none;1.0;1.05
08.07.2024;Детские товары;0;none;1.0;1.05
08.07.2024;Электроника;0;none;1.0;1.35
08.07.2024;Спорт;0;none;1.0;1.1
08.07.2024;Товары для животных;0;none;1.0;0.95
08.07.2024;Аксессуары;0;none;1.0;1.1
08.07.2024;Канцелярия;0;none;1.0;0.85
09.07.2024;Одежда;0;none;1.173;1.15
09.07.2024;Обувь;0;none;1.173;1.2
09.07.2024;Красота;0;none;1.0;1.25
09.07.2024;Дом;0;none;1.0;1.05
09.07.2024;Детские товары;0;none;1.0;1.05
09.07.2024;Электроника;0;none;1.0;1.35
09.07.2024;Спорт;0;none;1.0;1.1
09.07.2024;Товары для животных;0;none;1.0;0.95
09.07.2024;Аксессуары;0;none;1.0;1.1
09.07.2024;Канцелярия;0;none;1.0;0.85
10.07.2024;Одежда;0;none;1.173;1.15
10.07.2024;Обувь;0;none;1.173;1.2
10.07.2024;Красота;0;none;1.0;1.25
10.07.2024;Дом;0;none;1.0;1.05
10.07.2024;Детские товары;0;none;1.0;1.05
10.07.2024;Электроника;0;none;1.0;1.35
10.07.2024;Спорт;0;none;1.0;1.1
10.07.2024;Товары для животных;0;none;1.0;0.95
10.07.2024;Аксессуары;0;none;1.0;1.1
10.07.2024;Канцелярия;0;none;1.0;0.85
11.07.2024;Одежда;0;none;1.173;1.15
11.07.2024;Обувь;0;none;1.173;1.2
11.07.2024;Красота;0;none;1.0;1.25
11.07.2024;Дом;0;none;1.0;1.05
11.07.2024;Детские товары;0;none;1.0;1.05
11.07.2024;Электроника;0;none;1.0;1.35
11.07.2024;Спорт;0;none;1.0;1.1
11.07.2024;Товары для животных;0;none;1.0;0.95
11.07.2024;Аксессуары;0;none;1.0;1.1
11.07.2024;Канцелярия;0;none;1.0;0.85
12.07.2024;Одежда;0;none;1.173;1.15
12.07.2024;Обувь;0;none;1.173;1.2
12.07.2024;Красота;0;none;1.0;1.25
12.07.2024;Дом;0;none;1.0;1.05
12.07.2024;Детские товары;0;none;1.0;1.05
12.07.2024;Электроника;0;none;1.0;1.35
12.07.2024;Спорт;0;none;1.0;1.1
12.07.2024;Товары для животных;0;none;1.0;0.95
12.07.2024;Аксессуары;0;none;1.0;1.1
12.07.2024;Канцелярия;0;none;1.0;0.85
13.07.2024;Одежда;1;none;1.291;1.15
13.07.2024;Обувь;1;none;1.291;1.2
13.07.2024;Красота;1;none;1.1;1.25
13.07.2024;Дом;1;none;1.1;1.05
13.07.2024;Детские товары;1;none;1.1;1.05
13.07.2024;Электроника;1;none;1.1;1.35
13.07.2024;Спорт;1;none;1.1;1.1
13.07.2024;Товары для животных;1;none;1.1;0.95
13.07.2024;Аксессуары;1;none;1.1;1.1
13.07.2024;Канцелярия;1;none;1.1;0.85
14.07.2024;Одежда;1;none;1.291;1.15
14.07.2024;Обувь;1;none;1.291;1.2
14.07.2024;Красота;1;none;1.1;1.25
14.07.2024;Дом;1;none;1.1;1.05
14.07.2024;Детские товары;1;none;1.1;1.05
14.07.2024;Электроника;1;none;1.1;1.35
14.07.2024;Спорт;1;none;1.1;1.1
14.07.2024;Товары для животных;1;none;1.1;0.95
14.07.2024;Аксессуары;1;none;1.1;1.1
14.07.2024;Канцелярия;1;none;1.1;0.85
15.07.2024;Одежда;0;none;1.173;1.15
15.07.2024;Обувь;0;none;1.173;1.2
15.07.2024;Красота;0;none;1.0;1.25
15.07.2024;Дом;0;none;1.0;1.05
15.07.2024;Детские товары;0;none;1.0;1.05
15.07.2024;Электроника;0;none;1.0;1.35
15.07.2024;Спорт;0;none;1.0;1.1
15.07.2024;Товары для животных;0;none;1.0;0.95
15.07.2024;Аксессуары;0;none;1.0;1.1
15.07.2024;Канцелярия;0;none;1.0;0.85
16.07.2024;Одежда;0;none;1.173;1.15
16.07.2024;Обувь;0;none;1.173;1.2
16.07.2024;Красота;0;none;1.0;1.25
16.07.2024;Дом;0;none;1.0;1.05
16.07.2024;Детские товары;0;none;1.0;1.05
16.07.2024;Электроника;0;none;1.0;1.35
16.07.2024;Спорт;0;none;1.0;1.1
16.07.2024;Товары для животных;0;none;1.0;0.95
16.07.2024;Аксессуары;0;none;1.0;1.1
16.07.2024;Канцелярия;0;none;1.0;0.85
17.07.2024;Одежда;0;none;1.173;1.15
17.07.2024;Обувь;0;none;1.173;1.2
17.07.2024;Красота;0;none;1.0;1.25
17.07.2024;Дом;0;none;1.0;1.05
17.07.2024;Детские товары;0;none;1.0;1.05
17.07.2024;Электроника;0;none;1.0;1.35
17.07.2024;Спорт;0;none;1.0;1.1
17.07.2024;Товары для животных;0;none;1.0;0.95
17.07.2024;Аксессуары;0;none;1.0;1.1
17.07.2024;Канцелярия;0;none;1.0;0.85
18.07.2024;Одежда;0;none;1.173;1.15
18.07.2024;Обувь;0;none;1.173;1.2
18.07.2024;Красота;0;none;1.0;1.25
18.07.2024;Дом;0;none;1.0;1.05
18.07.2024;Детские товары;0;none;1.0;1.05
18.07.2024;Электроника;0;none;1.0;1.35
18.07.2024;Спорт;0;none;1.0;1.1
18.07.2024;Товары для животных;0;none;1.0;0.95
18.07.2024;Аксессуары;0;none;1.0;1.1
18.07.2024;Канцелярия;0;none;1.0;0.85
19.07.2024;Одежда;0;none;1.173;1.15
19.07.2024;Обувь;0;none;1.173;1.2
19.07.2024;Красота;0;none;1.0;1.25
19.07.2024;Дом;0;none;1.0;1.05
19.07.2024;Детские товары;0;none;1.0;1.05
19.07.2024;Электроника;0;none;1.0;1.35
19.07.2024;Спорт;0;none;1.0;1.1
19.07.2024;Товары для животных;0;none;1.0;0.95
19.07.2024;Аксессуары;0;none;1.0;1.1
19.07.2024;Канцелярия;0;none;1.0;0.85
20.07.2024;Одежда;1;none;1.291;1.15
20.07.2024;Обувь;1;none;1.291;1.2
20.07.2024;Красота;1;none;1.1;1.25
20.07.2024;Дом;1;none;1.1;1.05
20.07.2024;Детские товары;1;none;1.1;1.05
20.07.2024;Электроника;1;none;1.1;1.35
20.07.2024;Спорт;1;none;1.1;1.1
20.07.2024;Товары для животных;1;none;1.1;0.95
20.07.2024;Аксессуары;1;none;1.1;1.1
20.07.2024;Канцелярия;1;none;1.1;0.85
21.07.2024;Одежда;1;none;1.291;1.15
21.07.2024;Обувь;1;none;1.291;1.2
21.07.2024;Красота;1;none;1.1;1.25
21.07.2024;Дом;1;none;1.1;1.05
21.07.2024;Детские товары;1;none;1.1;1.05
21.07.2024;Электроника;1;none;1.1;1.35
21.07.2024;Спорт;1;none;1.1;1.1
21.07.2024;Товары для животных;1;none;1.1;0.95
21.07.2024;Аксессуары;1;none;1.1;1.1
21.07.2024;Канцелярия;1;none;1.1;0.85
22.07.2024;Одежда;0;none;1.173;1.15
22.07.2024;Обувь;0;none;1.173;1.2
22.07.2024;Красота;0;none;1.0;1.25
22.07.2024;Дом;0;none;1.0;1.05
22.07.2024;Детские товары;0;none;1.0;1.05
22.07.2024;Электроника;0;none;1.0;1.35
22.07.2024;Спорт;0;none;1.0;1.1
22.07.2024;Товары для животных;0;none;1.0;0.95
22.07.2024;Аксессуары;0;none;1.0;1.1
22.07.2024;Канцелярия;0;none;1.0;0.85
23.07.2024;Одежда;0;none;1.173;1.15
23.07.2024;Обувь;0;none;1.173;1.2
23.07.2024;Красота;0;none;1.0;1.25
23.07.2024;Дом;0;none;1.0;1.05
23.07.2024;Детские товары;0;none;1.0;1.05
23.07.2024;Электроника;0;none;1.0;1.35
23.07.2024;Спорт;0;none;1.0;1.1
23.07.2024;Товары для животных;0;none;1.0;0.95
23.07.2024;Аксессуары;0;none;1.0;1.1
23.07.2024;Канцелярия;0;none;1.0;0.85
24.07.2024;Одежда;0;none;1.173;1.15
24.07.2024;Обувь;0;none;1.173;1.2
24.07.2024;Красота;0;none;1.0;1.25
24.07.2024;Дом;0;none;1.0;1.05
24.07.2024;Детские товары;0;none;1.0;1.05
24.07.2024;Электроника;0;none;1.0;1.35
24.07.2024;Спорт;0;none;1.0;1.1
24.07.2024;Товары для животных;0;none;1.0;0.95
24.07.2024;Аксессуары;0;none;1.0;1.1
24.07.2024;Канцелярия;0;none;1.0;0.85
25.07.2024;Одежда;0;none;1.173;1.15
25.07.2024;Обувь;0;none;1.173;1.2
25.07.2024;Красота;0;none;1.0;1.25
25.07.2024;Дом;0;none;1.0;1.05
25.07.2024;Детские товары;0;none;1.0;1.05
25.07.2024;Электроника;0;none;1.0;1.35
25.07.2024;Спорт;0;none;1.0;1.1
25.07.2024;Товары для животных;0;none;1.0;0.95
25.07.2024;Аксессуары;0;none;1.0;1.1
25.07.2024;Канцелярия;0;none;1.0;0.85
26.07.2024;Одежда;0;none;1.173;1.15
26.07.2024;Обувь;0;none;1.173;1.2
26.07.2024;Красота;0;none;1.0;1.25
26.07.2024;Дом;0;none;1.0;1.05
26.07.2024;Детские товары;0;none;1.0;1.05
26.07.2024;Электроника;0;none;1.0;1.35
26.07.2024;Спорт;0;none;1.0;1.1
26.07.2024;Товары для животных;0;none;1.0;0.95
26.07.2024;Аксессуары;0;none;1.0;1.1
26.07.2024;Канцелярия;0;none;1.0;0.85
27.07.2024;Одежда;1;none;1.291;1.15
27.07.2024;Обувь;1;none;1.291;1.2
27.07.2024;Красота;1;none;1.1;1.25
27.07.2024;Дом;1;none;1.1;1.05
27.07.2024;Детские товары;1;none;1.1;1.05
27.07.2024;Электроника;1;none;1.1;1.35
27.07.2024;Спорт;1;none;1.1;1.1
27.07.2024;Товары для животных;1;none;1.1;0.95
27.07.2024;Аксессуары;1;none;1.1;1.1
27.07.2024;Канцелярия;1;none;1.1;0.85
28.07.2024;Одежда;1;none;1.291;1.15
28.07.2024;Обувь;1;none;1.291;1.2
28.07.2024;Красота;1;none;1.1;1.25
28.07.2024;Дом;1;none;1.1;1.05
28.07.2024;Детские товары;1;none;1.1;1.05
28.07.2024;Электроника;1;none;1.1;1.35
28.07.2024;Спорт;1;none;1.1;1.1
28.07.2024;Товары для животных;1;none;1.1;0.95
28.07.2024;Аксессуары;1;none;1.1;1.1
28.07.2024;Канцелярия;1;none;1.1;0.85
29.07.2024;Одежда;0;none;1.173;1.15
29.07.2024;Обувь;0;none;1.173;1.2
29.07.2024;Красота;0;none;1.0;1.25
29.07.2024;Дом;0;none;1.0;1.05
29.07.2024;Детские товары;0;none;1.0;1.05
29.07.2024;Электроника;0;none;1.0;1.35
29.07.2024;Спорт;0;none;1.0;1.1
29.07.2024;Товары для животных;0;none;1.0;0.95
29.07.2024;Аксессуары;0;none;1.0;1.1
29.07.2024;Канцелярия;0;none;1.0;0.85
30.07.2024;Одежда;0;none;1.173;1.15
30.07.2024;Обувь;0;none;1.173;1.2
30.07.2024;Красота;0;none;1.0;1.25
30.07.2024;Дом;0;none;1.0;1.05
30.07.2024;Детские товары;0;none;1.0;1.05
30.07.2024;Электроника;0;none;1.0;1.35
30.07.2024;Спорт;0;none;1.0;1.1
30.07.2024;Товары для животных;0;none;1.0;0.95
30.07.2024;Аксессуары;0;none;1.0;1.1
30.07.2024;Канцелярия;0;none;1.0;0.85
31.07.2024;Одежда;0;none;1.173;1.15
31.07.2024;Обувь;0;none;1.173;1.2
31.07.2024;Красота;0;none;1.0;1.25
31.07.2024;Дом;0;none;1.0;1.05
31.07.2024;Детские товары;0;none;1.0;1.05
31.07.2024;Электроника;0;none;1.0;1.35
31.07.2024;Спорт;0;none;1.0;1.1
31.07.2024;Товары для животных;0;none;1.0;0.95
31.07.2024;Аксессуары;0;none;1.0;1.1
31.07.2024;Канцелярия;0;none;1.0;0.85
01.08.2024;Одежда;0;none;1.1;1.15
01.08.2024;Обувь;0;none;1.1;1.2
01.08.2024;Красота;0;none;1.0;1.25
01.08.2024;Дом;0;none;0.96;1.05
01.08.2024;Детские товары;0;none;0.96;1.05
01.08.2024;Электроника;0;none;1.0;1.35
01.08.2024;Спорт;0;none;0.96;1.1
01.08.2024;Товары для животных;0;none;0.96;0.95
01.08.2024;Аксессуары;0;none;0.96;1.1
01.08.2024;Канцелярия;0;none;1.35;0.85
02.08.2024;Одежда;0;none;1.1;1.15
02.08.2024;Обувь;0;none;1.1;1.2
02.08.2024;Красота;0;none;1.0;1.25
02.08.2024;Дом;0;none;0.96;1.05
02.08.2024;Детские товары;0;none;0.96;1.05
02.08.2024;Электроника;0;none;1.0;1.35
02.08.2024;Спорт;0;none;0.96;1.1
02.08.2024;Товары для животных;0;none;0.96;0.95
02.08.2024;Аксессуары;0;none;0.96;1.1
02.08.2024;Канцелярия;0;none;1.35;0.85
03.08.2024;Одежда;1;none;1.21;1.15
03.08.2024;Обувь;1;none;1.21;1.2
03.08.2024;Красота;1;none;1.1;1.25
03.08.2024;Дом;1;none;1.056;1.05
03.08.2024;Детские товары;1;none;1.056;1.05
03.08.2024;Электроника;1;none;1.1;1.35
03.08.2024;Спорт;1;none;1.056;1.1
03.08.2024;Товары для животных;1;none;1.056;0.95
03.08.2024;Аксессуары;1;none;1.056;1.1
03.08.2024;Канцелярия;1;none;1.485;0.85
04.08.2024;Одежда;1;none;1.21;1.15
04.08.2024;Обувь;1;none;1.21;1.2
04.08.2024;Красота;1;none;1.1;1.25
04.08.2024;Дом;1;none;1.056;1.05
04.08.2024;Детские товары;1;none;1.056;1.05
04.08.2024;Электроника;1;none;1.1;1.35
04.08.2024;Спорт;1;none;1.056;1.1
04.08.2024;Товары для животных;1;none;1.056;0.95
04.08.2024;Аксессуары;1;none;1.056;1.1
04.08.2024;Канцелярия;1;none;1.485;0.85
05.08.2024;Одежда;0;none;1.1;1.15
05.08.2024;Обувь;0;none;1.1;1.2
05.08.2024;Красота;0;none;1.0;1.25
05.08.2024;Дом;0;none;0.96;1.05
05.08.2024;Детские товары;0;none;0.96;1.05
05.08.2024;Электроника;0;none;1.0;1.35
05.08.2024;Спорт;0;none;0.96;1.1
05.08.2024;Товары для животных;0;none;0.96;0.95
05.08.2024;Аксессуары;0;none;0.96;1.1
05.08.2024;Канцелярия;0;none;1.35;0.85
06.08.2024;Одежда;0;none;1.1;1.15
06.08.2024;Обувь;0;none;1.1;1.2
06.08.2024;Красота;0;none;1.0;1.25
06.08.2024;Дом;0;none;0.96;1.05
06.08.2024;Детские товары;0;none;0.96;1.05
06.08.2024;Электроника;0;none;1.0;1.35
06.08.2024;Спорт;0;none;0.96;1.1
06.08.2024;Товары для животных;0;none;0.96;0.95
06.08.2024;Аксессуары;0;none;0.96;1.1
06.08.2024;Канцелярия;0;none;1.35;0.85
07.08.2024;Одежда;0;none;1.1;1.15
07.08.2024;Обувь;0;none;1.1;1.2
07.08.2024;Красота;0;none;1.0;1.25
07.08.2024;Дом;0;none;0.96;1.05
07.08.2024;Детские товары;0;none;0.96;1.05
07.08.2024;Электроника;0;none;1.0;1.35
07.08.2024;Спорт;0;none;0.96;1.1
07.08.2024;Товары для животных;0;none;0.96;0.95
07.08.2024;Аксессуары;0;none;0.96;1.1
07.08.2024;Канцелярия;0;none;1.35;0.85
08.08.2024;Одежда;0;none;1.1;1.15
08.08.2024;Обувь;0;none;1.1;1.2
08.08.2024;Красота;0;none;1.0;1.25
08.08.2024;Дом;0;none;0.96;1.05
08.08.2024;Детские товары;0;none;0.96;1.05
08.08.2024;Электроника;0;none;1.0;1.35
08.08.2024;Спорт;0;none;0.96;1.1
08.08.2024;Товары для животных;0;none;0.96;0.95
08.08.2024;Аксессуары;0;none;0.96;1.1
08.08.2024;Канцелярия;0;none;1.35;0.85
09.08.2024;Одежда;0;none;1.1;1.15
09.08.2024;Обувь;0;none;1.1;1.2
09.08.2024;Красота;0;none;1.0;1.25
09.08.2024;Дом;0;none;0.96;1.05
09.08.2024;Детские товары;0;none;0.96;1.05
09.08.2024;Электроника;0;none;1.0;1.35
09.08.2024;Спорт;0;none;0.96;1.1
09.08.2024;Товары для животных;0;none;0.96;0.95
09.08.2024;Аксессуары;0;none;0.96;1.1
09.08.2024;Канцелярия;0;none;1.35;0.85
10.08.2024;Одежда;1;none;1.21;1.15
10.08.2024;Обувь;1;none;1.21;1.2
10.08.2024;Красота;1;none;1.1;1.25
10.08.2024;Дом;1;none;1.056;1.05
10.08.2024;Детские товары;1;none;1.056;1.05
10.08.2024;Электроника;1;none;1.1;1.35
10.08.2024;Спорт;1;none;1.056;1.1
10.08.2024;Товары для животных;1;none;1.056;0.95
10.08.2024;Аксессуары;1;none;1.056;1.1
10.08.2024;Канцелярия;1;none;1.485;0.85
11.08.2024;Одежда;1;none;1.21;1.15
11.08.2024;Обувь;1;none;1.21;1.2
11.08.2024;Красота;1;none;1.1;1.25
11.08.2024;Дом;1;none;1.056;1.05
11.08.2024;Детские товары;1;none;1.056;1.05
11.08.2024;Электроника;1;none;1.1;1.35
11.08.2024;Спорт;1;none;1.056;1.1
11.08.2024;Товары для животных;1;none;1.056;0.95
11.08.2024;Аксессуары;1;none;1.056;1.1
11.08.2024;Канцелярия;1;none;1.485;0.85
12.08.2024;Одежда;0;none;1.1;1.15
12.08.2024;Обувь;0;none;1.1;1.2
12.08.2024;Красота;0;none;1.0;1.25
12.08.2024;Дом;0;none;0.96;1.05
12.08.2024;Детские товары;0;none;0.96;1.05
12.08.2024;Электроника;0;none;1.0;1.35
12.08.2024;Спорт;0;none;0.96;1.1
12.08.2024;Товары для животных;0;none;0.96;0.95
12.08.2024;Аксессуары;0;none;0.96;1.1
12.08.2024;Канцелярия;0;none;1.35;0.85
13.08.2024;Одежда;0;none;1.1;1.15
13.08.2024;Обувь;0;none;1.1;1.2
13.08.2024;Красота;0;none;1.0;1.25
13.08.2024;Дом;0;none;0.96;1.05
13.08.2024;Детские товары;0;none;0.96;1.05
13.08.2024;Электроника;0;none;1.0;1.35
13.08.2024;Спорт;0;none;0.96;1.1
13.08.2024;Товары для животных;0;none;0.96;0.95
13.08.2024;Аксессуары;0;none;0.96;1.1
13.08.2024;Канцелярия;0;none;1.35;0.85
14.08.2024;Одежда;0;none;1.1;1.15
14.08.2024;Обувь;0;none;1.1;1.2
14.08.2024;Красота;0;none;1.0;1.25
14.08.2024;Дом;0;none;0.96;1.05
14.08.2024;Детские товары;0;none;0.96;1.05
14.08.2024;Электроника;0;none;1.0;1.35
14.08.2024;Спорт;0;none;0.96;1.1
14.08.2024;Товары для животных;0;none;0.96;0.95
14.08.2024;Аксессуары;0;none;0.96;1.1
14.08.2024;Канцелярия;0;none;1.35;0.85
15.08.2024;Одежда;0;none;1.1;1.15
15.08.2024;Обувь;0;none;1.1;1.2
15.08.2024;Красота;0;none;1.0;1.25
15.08.2024;Дом;0;none;0.96;1.05
15.08.2024;Детские товары;0;none;0.96;1.05
15.08.2024;Электроника;0;none;1.0;1.35
15.08.2024;Спорт;0;none;0.96;1.1
15.08.2024;Товары для животных;0;none;0.96;0.95
15.08.2024;Аксессуары;0;none;0.96;1.1
15.08.2024;Канцелярия;0;none;1.35;0.85
16.08.2024;Одежда;0;none;1.1;1.15
16.08.2024;Обувь;0;none;1.1;1.2
16.08.2024;Красота;0;none;1.0;1.25
16.08.2024;Дом;0;none;0.96;1.05
16.08.2024;Детские товары;0;none;0.96;1.05
16.08.2024;Электроника;0;none;1.0;1.35
16.08.2024;Спорт;0;none;0.96;1.1
16.08.2024;Товары для животных;0;none;0.96;0.95
16.08.2024;Аксессуары;0;none;0.96;1.1
16.08.2024;Канцелярия;0;none;1.35;0.85
17.08.2024;Одежда;1;none;1.21;1.15
17.08.2024;Обувь;1;none;1.21;1.2
17.08.2024;Красота;1;none;1.1;1.25
17.08.2024;Дом;1;none;1.056;1.05
17.08.2024;Детские товары;1;none;1.056;1.05
17.08.2024;Электроника;1;none;1.1;1.35
17.08.2024;Спорт;1;none;1.056;1.1
17.08.2024;Товары для животных;1;none;1.056;0.95
17.08.2024;Аксессуары;1;none;1.056;1.1
17.08.2024;Канцелярия;1;none;1.485;0.85
18.08.2024;Одежда;1;none;1.21;1.15
18.08.2024;Обувь;1;none;1.21;1.2
18.08.2024;Красота;1;none;1.1;1.25
18.08.2024;Дом;1;none;1.056;1.05
18.08.2024;Детские товары;1;none;1.056;1.05
18.08.2024;Электроника;1;none;1.1;1.35
18.08.2024;Спорт;1;none;1.056;1.1
18.08.2024;Товары для животных;1;none;1.056;0.95
18.08.2024;Аксессуары;1;none;1.056;1.1
18.08.2024;Канцелярия;1;none;1.485;0.85
19.08.2024;Одежда;0;none;1.1;1.15
19.08.2024;Обувь;0;none;1.1;1.2
19.08.2024;Красота;0;none;1.0;1.25
19.08.2024;Дом;0;none;0.96;1.05
19.08.2024;Детские товары;0;none;0.96;1.05
