push_id,user_id,send_time,push_type,opened_flag,open_time,clicked_flag,click_time,purchase_after_push_flag,purchase_time,utm_source,utm_campaign,disabled_push_after_flag,push_title_len,push_text_len,emoji_flag,push_send_provider
1,9024514,2024-09-23 16:15:00,promo,1,2024-09-23 17:48:00,1,2024-09-23 18:26:00,0,,push,,0,26,84,0,provider_b
2,9024514,2024-10-02 16:11:00,category_sale,0,,0,,0,,push,,0,68,171,1,provider_a
3,9024514,2024-10-09 10:43:00,price_drop,0,,0,,0,,push,,0,30,56,0,provider_b
4,9024514,2024-10-20 11:27:00,price_drop,0,,0,,0,,push,,0,23,58,0,provider_a
5,9024514,2024-10-21 16:05:00,category_sale,0,,0,,0,,push,,0,52,83,0,provider_a
6,9024514,2024-11-15 09:43:00,promo,0,,0,,0,,push,,0,19,49,0,provider_c
7,9024514,2025-01-03 11:20:00,recommendation,0,,0,,0,,push,,0,78,121,1,provider_b
8,9024514,2025-01-16 12:50:00,recommendation,0,,0,,0,,push,,0,69,98,0,provider_b
9,9024514,2025-01-26 09:23:00,promo,0,,0,,0,,push,,0,50,85,1,provider_c
10,9024514,2025-01-28 12:39:00,price_drop,0,,0,,0,,push,,0,65,95,0,provider_b
11,9024514,2025-02-17 16:44:00,recommendation,0,,0,,0,,push,,0,19,91,0,provider_b
12,9024514,2025-02-21 13:49:00,recommendation,0,,0,,0,,push,,0,46,54,0,provider_a
13,9024514,2025-03-07 09:18:00,promo,1,2025-03-07 09:52:00,0,,0,,push,,0,57,146,0,provider_a
14,9024514,2025-03-19 15:35:00,cart_reminder,0,,0,,0,,push,,0,79,69,1,provider_a
15,9024514,2025-03-24 13:26:00,price_drop,0,,0,,0,,push,,0,78,153,1,provider_b
16,9024514,2025-04-04 14:13:00,promo,1,2025-04-04 14:35:00,0,,0,,push,,0,76,43,1,provider_c
17,9024514,2025-04-06 16:38:00,recommendation,0,,0,,0,,push,,0,29,140,0,provider_b
18,9024514,2025-05-03 11:17:00,category_sale,0,,0,,0,,push,,0,61,110,0,provider_a
19,9024514,2025-05-19 12:14:00,category_sale,0,,0,,0,,push,,0,53,68,0,provider_a
20,9024514,2025-05-22 09:15:00,cart_reminder,0,,0,,0,,push,,0,75,57,0,provider_b
21,9024514,2025-05-26 11:46:00,promo,0,,0,,0,,push,,0,63,88,1,provider_a
22,9024514,2025-06-08 09:48:00,promo,0,,0,,0,,push,,0,25,48,0,provider_a
23,9024514,2025-06-11 12:46:00,promo,0,,0,,0,,push,,0,25,50,1,provider_a
24,9024514,2025-07-03 11:27:00,promo,0,,0,,0,,push,,0,75,98,0,provider_b
25,9024514,2025-07-10 10:11:00,cart_reminder,0,,0,,0,,push,,0,79,94,0,provider_a
26,9024514,2025-08-17 17:01:00,recommendation,1,2025-08-17 19:08:00,0,,0,,push,,0,69,103,1,provider_a
27,9024514,2025-08-19 15:12:00,recommendation,1,2025-08-19 16:08:00,0,,0,,push,,0,52,146,1,provider_b
28,9024514,2025-09-20 14:27:00,promo,1,2025-09-20 16:44:00,0,,0,,push,,0,37,65,1,provider_a
29,9024514,2025-09-21 09:42:00,promo,1,2025-09-21 10:45:00,1,2025-09-21 11:13:00,0,,push,,0,70,120,0,provider_c
30,9024514,2025-10-20 18:42:00,price_drop,1,2025-10-20 19:31:00,0,,0,,push,,0,21,133,1,provider_b
31,9024514,2025-10-29 16:54:00,recommendation,1,2025-10-29 17:39:00,0,,0,,push,,0,28,86,1,provider_a
32,9024514,2025-11-02 19:01:00,promo,0,,0,,0,,push,,0,56,61,1,provider_b
33,9024514,2025-11-15 14:07:00,recommendation,0,,0,,0,,push,,0,32,98,0,provider_a
34,9024514,2025-11-27 12:40:00,promo,0,,0,,0,,push,,0,43,147,1,provider_b
35,9024514,2025-11-28 16:24:00,promo,1,2025-11-28 17:11:00,0,,0,,push,,0,40,43,1,provider_a
36,9024514,2025-12-24 17:30:00,category_sale,0,,0,,0,,push,,0,67,121,0,provider_c
37,9024514,2026-01-02 19:13:00,price_drop,0,,0,,0,,push,,0,48,107,0,provider_b
38,9024514,2026-02-09 17:17:00,recommendation,0,,0,,0,,push,,0,71,147,0,provider_a
39,9024514,2026-02-11 13:08:00,price_drop,0,,0,,0,,push,,0,43,131,0,provider_a
40,9024514,2026-02-15 12:19:00,recommendation,1,2026-02-15 13:50:00,0,,0,,push,,0,70,76,1,provider_a
41,9024514,2026-02-26 12:41:00,price_drop,1,2026-02-26 14:50:00,0,,0,,push,,0,66,79,0,provider_b
42,9024514,2026-03-05 15:55:00,promo,0,,0,,0,,push,,0,41,129,0,provider_c
43,9024514,2026-03-10 09:15:00,recommendation,1,2026-03-10 10:16:00,1,2026-03-10 11:08:00,0,,push,,0,48,123,0,provider_c
44,9024514,2026-03-14 15:52:00,category_sale,0,,0,,0,,push,,0,19,134,1,provider_a
45,9024514,2026-03-27 18:20:00,recommendation,0,,0,,0,,push,,0,71,42,1,provider_b
46,9024514,2026-04-03 15:14:00,promo,1,2026-04-03 17:54:00,1,2026-04-03 18:09:00,0,,push,,0,18,97,0,provider_a
47,9024514,2026-04-22 19:53:00,recommendation,0,,0,,0,,push,,0,61,154,0,provider_a
48,9081142,2024-07-06 13:20:00,promo,0,,0,,0,,push,,0,29,133,1,provider_c
49,9081142,2024-07-07 10:50:00,promo,1,2024-07-07 12:25:00,0,,0,,push,,0,69,87,0,provider_b
50,9081142,2024-07-19 12:55:00,promo,0,,0,,0,,push,,0,64,141,1,provider_c
51,9081142,2024-07-21 13:38:00,cart_reminder,1,2024-07-21 14:02:00,0,,0,,push,,0,67,126,0,provider_a
52,9081142,2024-08-10 09:24:00,cart_reminder,0,,0,,0,,push,,0,30,108,1,provider_c
53,9081142,2024-08-18 11:16:00,recommendation,1,2024-08-18 13:05:00,0,,0,,push,,0,56,139,1,provider_a
54,9081142,2024-08-21 13:47:00,cart_reminder,0,,0,,0,,push,,0,78,97,1,provider_c
55,9081142,2024-08-25 14:08:00,cart_reminder,0,,0,,0,,push,,0,39,151,1,provider_a
56,9081142,2024-09-05 14:43:00,cart_reminder,0,,0,,0,,push,,0,79,147,1,provider_a
57,9081142,2024-11-07 12:20:00,promo,1,2024-11-07 13:23:00,0,,0,,push,,0,56,92,1,provider_a
58,9081142,2024-11-14 20:30:00,category_sale,0,,0,,0,,push,,0,34,176,1,provider_a
59,9081142,2024-11-17 16:56:00,promo,0,,0,,0,,push,,0,37,147,1,provider_a
60,9081142,2024-12-01 09:41:00,price_drop,1,2024-12-01 09:44:00,1,2024-12-01 09:51:00,0,,push,,0,71,66,0,provider_a
61,9081142,2024-12-13 11:11:00,promo,0,,0,,0,,push,,0,36,78,1,provider_b
62,9081142,2024-12-24 13:49:00,recommendation,1,2024-12-24 13:50:00,0,,0,,push,,0,27,133,1,provider_a
63,9081142,2024-12-28 18:51:00,price_drop,1,2024-12-28 18:52:00,1,2024-12-28 19:34:00,0,,push,,0,62,162,1,provider_b
64,9081142,2025-01-02 13:58:00,recommendation,0,,0,,0,,push,,0,58,136,0,provider_a
65,9081142,2025-01-06 16:45:00,recommendation,1,2025-01-06 18:08:00,0,,0,,push,,0,78,175,0,provider_c
66,9081142,2025-01-07 19:22:00,recommendation,1,2025-01-07 20:57:00,0,,0,,push,,0,30,109,0,provider_a
67,9081142,2025-01-25 16:22:00,recommendation,0,,0,,0,,push,,0,25,123,1,provider_b
68,9081142,2025-02-01 12:46:00,promo,0,,0,,0,,push,,0,48,140,1,provider_a
