seller_id;seller_registration_dt;seller_first_sale_dt;seller_main_category;seller_region_cluster;seller_size_bucket;fulfillment_model;seller_manager_region;seller_onboarding_channel;seller_has_logo_flag
100001;15.07.2024;16.08.2024;Дом;Санкт-Петербург;micro;mixed;north;offline_event;1
100002;15.12.2025;11.01.2026;Спорт;Юг;medium;mixed;center;referral;1
100003;06.03.2025;28.03.2025;Обувь;Центр;small;FBO;east;partner;1
100004;20.02.2024;04.04.2024;Электроника;Урал;small;FBO;center;organic;1
100005;12.03.2024;24.04.2024;Детские товары;Урал;micro;FBO;south;organic;1
100006;03.09.2024;09.09.2024;Аксессуары;Юг;small;FBS;west;organic;1
100007;02.10.2023;11.10.2023;Дом;Урал;micro;mixed;west;partner;0
100008;30.12.2023;20.01.2024;Дом;Поволжье;micro;FBO;west;organic;1
100009;21.09.2025;25.10.2025;Обувь;Урал;micro;FBO;west;organic;0
100010;21.12.2025;10.01.2026;Аксессуары;Центр;micro;FBS;center;organic;1
100011;24.03.2025;04.04.2025;Одежда;Сибирь;small;FBS;center;referral;1
100012;04.09.2025;21.09.2025;Одежда;Сибирь;small;FBO;east;organic;0
100013;08.11.2023;24.11.2023;Красота;Урал;medium;FBS;south;partner;1
100014;13.10.2024;15.12.2024;Красота;Москва и МО;large;FBS;east;offline_event;1
100015;25.12.2024;08.01.2025;Аксессуары;Центр;small;FBS;center;organic;1
100016;11.03.2025;25.03.2025;Одежда;Поволжье;micro;mixed;north;organic;1
100017;22.01.2026;06.03.2026;Детские товары;Москва и МО;medium;FBS;south;offline_event;1
100018;19.08.2023;21.10.2023;Одежда;Центр;micro;FBS;east;referral;1
100019;17.04.2025;21.04.2025;Одежда;Юг;micro;mixed;south;organic;1
100020;24.04.2025;16.05.2025;Канцелярия;Поволжье;micro;FBS;south;ads;0
100021;20.07.2024;14.08.2024;Дом;Центр;large;mixed;center;organic;0
100022;18.01.2024;19.02.2024;Электроника;Поволжье;medium;FBS;east;ads;1
100023;07.02.2026;10.03.2026;Товары для животных;Сибирь;small;FBO;east;ads;1
100024;14.09.2024;21.09.2024;Дом;Урал;micro;mixed;south;referral;0
100025;09.04.2024;10.05.2024;Дом;Сибирь;micro;FBO;east;organic;0
100026;13.03.2025;30.03.2025;Электроника;Центр;small;FBS;center;referral;0
100027;23.04.2025;17.06.2025;Одежда;Дальний Восток;small;mixed;east;referral;1
100028;08.04.2025;16.05.2025;Товары для животных;Сибирь;micro;FBO;west;ads;1
100029;05.10.2023;07.11.2023;Товары для животных;Поволжье;micro;FBO;east;organic;0
100030;22.08.2024;19.10.2024;Спорт;Сибирь;micro;FBS;south;offline_event;1
100031;06.12.2023;09.01.2024;Дом;Юг;micro;FBO;center;organic;0
100032;29.07.2023;01.09.2023;Электроника;Москва и МО;micro;mixed;center;organic;1
100033;14.08.2025;09.09.2025;Электроника;Урал;micro;FBS;south;organic;1
100034;04.02.2026;26.02.2026;Красота;Москва и МО;small;FBS;center;ads;1
100035;31.01.2025;23.02.2025;Одежда;Москва и МО;medium;FBO;north;ads;1
100036;07.06.2025;13.06.2025;Канцелярия;Сибирь;micro;mixed;center;organic;0
100037;11.01.2026;12.03.2026;Спорт;Санкт-Петербург;micro;FBS;north;organic;0
100038;11.06.2024;20.06.2024;Дом;Поволжье;medium;mixed;west;organic;1
100039;04.09.2025;23.09.2025;Детские товары;Центр;micro;mixed;center;organic;1
100040;13.10.2025;23.11.2025;Спорт;Москва и МО;small;FBO;center;partner;0
100041;19.05.2024;12.06.2024;Канцелярия;Центр;micro;mixed;east;organic;1
100042;21.02.2024;07.03.2024;Красота;Поволжье;micro;FBO;east;referral;1
100043;15.11.2024;02.01.2025;Одежда;Юг;micro;FBO;center;partner;0
100044;28.02.2024;27.03.2024;Одежда;Центр;large;FBS;north;organic;1
100045;10.02.2025;21.02.2025;Одежда;Поволжье;medium;FBO;south;organic;1
100046;13.01.2026;09.02.2026;Аксессуары;Дальний Восток;micro;FBO;west;organic;1
100047;26.01.2025;10.02.2025;Дом;Сибирь;micro;FBS;west;referral;0
100048;08.07.2025;14.07.2025;Электроника;Поволжье;micro;FBS;north;offline_event;0
100049;17.02.2024;16.03.2024;Красота;Москва и МО;micro;mixed;south;referral;1
100050;17.12.2023;23.12.2023;Красота;Санкт-Петербург;small;FBS;west;offline_event;0
100051;01.12.2023;13.12.2023;Одежда;Москва и МО;micro;FBS;east;organic;1
100052;02.01.2025;31.01.2025;Электроника;Поволжье;micro;FBO;south;ads;1
100053;23.02.2026;04.03.2026;Обувь;Поволжье;medium;mixed;center;organic;0
100054;02.02.2024;31.03.2024;Одежда;Центр;micro;FBS;south;organic;0
100055;25.07.2023;13.08.2023;Одежда;Урал;small;FBS;center;organic;1
