Column1;dt;sku_id;seller_id;category_main;ad_impressions;ad_clicks;ad_orders;ad_gmv;ad_spend;avg_bid;ad_revenue;category_competition_index;campaign_type;creative_format;campaign_age_days
0;09.12.2024;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;manual;banner;15
1;10.12.2024;5124963;102926;Одежда;7;0;0;0.0;0.0;60.82;0.0;1.15;retarget;recommendation;22
2;11.12.2024;5124963;102926;Одежда;11;0;0;0.0;0.0;189.91;0.0;1.15;manual;recommendation;2
3;12.12.2024;5124963;102926;Одежда;11;0;0;0.0;0.0;78.23;0.0;1.15;auto;banner;11
4;13.12.2024;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;auto;banner;19
5;14.12.2024;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;manual;search_card;48
6;15.12.2024;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;manual;search_card;14
7;16.12.2024;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;retarget;slider;0
8;17.12.2024;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;auto;search_card;90
9;18.12.2024;5124963;102926;Одежда;8;0;0;0.0;0.0;187.72;0.0;1.15;retarget;slider;77
10;19.12.2024;5124963;102926;Одежда;15;2;0;0.0;2.03;101.63;2.03;1.15;auto;recommendation;43
11;20.12.2024;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;manual;slider;79
12;21.12.2024;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;category;slider;39
13;22.12.2024;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;manual;recommendation;29
14;23.12.2024;5124963;102926;Одежда;24;0;0;0.0;0.0;147.85;0.0;1.15;auto;banner;15
15;24.12.2024;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;manual;banner;7
16;25.12.2024;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;auto;slider;33
17;26.12.2024;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;manual;recommendation;51
18;27.12.2024;5124963;102926;Одежда;17;5;1;515.79;4.29;85.78;4.29;1.15;category;banner;21
19;28.12.2024;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;auto;recommendation;2
20;29.12.2024;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;manual;banner;18
21;30.12.2024;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;auto;search_card;67
22;31.12.2024;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;auto;banner;62
23;01.01.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;auto;slider;1
24;02.01.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;manual;banner;89
25;03.01.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;category;recommendation;11
26;04.01.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;auto;slider;13
27;05.01.2025;5124963;102926;Одежда;15;1;0;0.0;1.46;146.24;1.46;1.15;auto;recommendation;84
28;06.01.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;manual;recommendation;45
29;07.01.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;manual;recommendation;25
30;08.01.2025;5124963;102926;Одежда;11;0;0;0.0;0.0;49.79;0.0;1.15;manual;search_card;2
31;09.01.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;auto;slider;27
32;10.01.2025;5124963;102926;Одежда;72;2;0;0.0;2.01;100.55;2.01;1.15;auto;banner;44
33;11.01.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;auto;banner;15
34;12.01.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;category;search_card;28
35;13.01.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;auto;search_card;29
36;14.01.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;auto;search_card;35
37;15.01.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;manual;search_card;24
38;16.01.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;category;banner;2
39;17.01.2025;5124963;102926;Одежда;15;0;0;0.0;0.0;205.56;0.0;1.15;manual;search_card;97
40;18.01.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;auto;banner;153
41;19.01.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;auto;slider;11
42;20.01.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;auto;search_card;12
43;21.01.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;retarget;banner;41
44;22.01.2025;5124963;102926;Одежда;16;0;0;0.0;0.0;76.01;0.0;1.15;category;banner;22
45;23.01.2025;5124963;102926;Одежда;10;0;0;0.0;0.0;126.56;0.0;1.15;unknown;banner;103
46;24.01.2025;5124963;102926;Одежда;7;1;0;0.0;1.25;125.15;1.25;1.15;retarget;search_card;102
47;25.01.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;manual;slider;47
48;26.01.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;manual;recommendation;203
49;27.01.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;manual;banner;40
50;28.01.2025;5124963;102926;Одежда;23;2;0;0.0;4.15;207.7;4.15;1.15;category;slider;138
51;29.01.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;auto;banner;134
52;30.01.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;category;banner;14
53;31.01.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;auto;slider;67
54;01.02.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;category;slider;8
55;02.02.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;unknown;search_card;4
56;03.02.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;auto;banner;145
57;04.02.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;manual;search_card;0
58;05.02.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;auto;slider;14
59;06.02.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;category;slider;52
60;07.02.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;auto;banner;35
61;08.02.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;manual;recommendation;21
62;09.02.2025;5124963;102926;Одежда;17;1;0;0.0;1.69;169.28;1.69;1.15;manual;slider;56
63;10.02.2025;5124963;102926;Одежда;29;0;0;0.0;0.0;74.78;0.0;1.15;manual;slider;165
64;11.02.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;manual;slider;31
65;12.02.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;manual;slider;1
66;13.02.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;manual;recommendation;93
67;14.02.2025;5124963;102926;Одежда;48;2;0;0.0;1.71;85.48;1.71;1.15;unknown;slider;11
68;15.02.2025;5124963;102926;Одежда;36;2;0;0.0;2.44;122.22;2.44;1.15;auto;banner;37
69;16.02.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;manual;search_card;111
70;17.02.2025;5124963;102926;Одежда;25;3;0;0.0;2.99;99.77;2.99;1.15;auto;search_card;33
71;18.02.2025;5124963;102926;Одежда;3;0;0;0.0;0.0;172.57;0.0;1.15;retarget;banner;8
72;19.02.2025;5124963;102926;Одежда;39;1;0;0.0;1.04;104.38;1.04;1.15;manual;search_card;56
73;20.02.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;category;banner;6
74;21.02.2025;5124963;102926;Одежда;33;2;0;0.0;2.0;99.94;2.0;1.15;manual;recommendation;117
75;22.02.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;auto;slider;55
76;23.02.2025;5124963;102926;Одежда;37;0;0;0.0;0.0;179.33;0.0;1.15;category;search_card;13
77;24.02.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;auto;slider;0
78;25.02.2025;5124963;102926;Одежда;20;0;0;0.0;0.0;183.87;0.0;1.15;auto;search_card;80
79;26.02.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;unknown;search_card;14
80;27.02.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;auto;search_card;0
81;28.02.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;manual;recommendation;3
82;01.03.2025;5124963;102926;Одежда;17;0;0;0.0;0.0;136.63;0.0;1.15;auto;search_card;4
83;02.03.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;retarget;slider;10
84;03.03.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;manual;banner;97
85;04.03.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;unknown;slider;14
86;05.03.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;manual;banner;26
87;06.03.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;manual;slider;10
88;07.03.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;auto;banner;1
89;08.03.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;retarget;search_card;19
90;09.03.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;category;slider;14
91;10.03.2025;5124963;102926;Одежда;38;0;0;0.0;0.0;55.12;0.0;1.15;retarget;search_card;2
92;11.03.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;auto;slider;4
93;12.03.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;auto;search_card;9
94;13.03.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;manual;banner;1
95;14.03.2025;5124963;102926;Одежда;14;1;0;0.0;0.87;87.04;0.87;1.15;auto;slider;105
96;15.03.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;manual;search_card;26
97;16.03.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;auto;search_card;33
98;17.03.2025;5124963;102926;Одежда;4;0;0;0.0;0.0;117.93;0.0;1.15;auto;banner;41
99;18.03.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;manual;banner;28
100;19.03.2025;5124963;102926;Одежда;7;0;0;0.0;0.0;174.7;0.0;1.15;retarget;banner;4
101;20.03.2025;5124963;102926;Одежда;16;0;0;0.0;0.0;198.89;0.0;1.15;retarget;banner;43
102;21.03.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;auto;slider;43
103;22.03.2025;5124963;102926;Одежда;24;1;0;0.0;1.09;108.75;1.09;1.15;category;slider;239
104;23.03.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;retarget;slider;6
105;24.03.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;unknown;slider;58
106;25.03.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;manual;recommendation;18
107;26.03.2025;5124963;102926;Одежда;31;0;0;0.0;0.0;88.07;0.0;1.15;category;search_card;31
108;27.03.2025;5124963;102926;Одежда;17;0;0;0.0;0.0;100.82;0.0;1.15;manual;search_card;29
109;28.03.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;manual;search_card;54
110;29.03.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;auto;banner;104
111;30.03.2025;5124963;102926;Одежда;38;2;0;0.0;2.51;125.49;2.51;1.15;auto;slider;67
112;31.03.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;auto;search_card;5
113;01.04.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;category;search_card;10
114;02.04.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;retarget;banner;62
115;03.04.2025;5124963;102926;Одежда;37;1;0;0.0;2.21;221.27;2.21;1.15;auto;banner;33
116;04.04.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;manual;search_card;26
117;05.04.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;manual;search_card;39
118;06.04.2025;5124963;102926;Одежда;34;2;0;0.0;3.53;176.35;3.53;1.15;manual;slider;132
119;07.04.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;auto;search_card;43
120;08.04.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;auto;search_card;25
121;09.04.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;auto;slider;37
122;10.04.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;auto;search_card;33
123;11.04.2025;5124963;102926;Одежда;26;1;0;0.0;0.96;96.16;0.96;1.15;unknown;search_card;123
124;12.04.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;auto;slider;60
125;13.04.2025;5124963;102926;Одежда;0;0;0;0.0;0.0;0.0;0.0;1.15;manual;slider;10
