sku_id;seller_id;category_main;category_sub;brand_id;price_segment;sku_launch_dt;base_price_rub;current_discount_share;rating_avg;reviews_cnt;is_active_catalog_flag;package_type;color_group;photo_cnt;description_len;has_video_flag;warehouse_package_weight_g
5000001;100001;Дом;хранение;дом_brand_088;low;2025-01-09;880;0.205;4.38;30;1;box;black;7;917;1;1280
5000002;100001;Дом;декор;дом_brand_029;high;2025-03-12;6850;0.162;4.92;127;1;box;multicolor;8;619;1;174
5000003;100001;Дом;декор;дом_brand_103;low;2024-10-30;1050;0.529;4.87;22;1;box;green;8;544;0;801
5000004;100001;Дом;текстиль;дом_brand_118;high;2024-11-06;4790;0.449;4.31;4;1;blister;white;5;389;1;132
5000005;100001;Дом;текстиль;дом_brand_037;mid;2024-08-22;3300;0.078;4.9;130;1;box;blue;4;1203;1;137
5000006;100001;Дом;текстиль;дом_brand_111;high;2024-10-08;6610;0.343;4.53;32;1;box;multicolor;8;680;1;208
5000007;100001;Дом;посуда;дом_brand_046;mid;2024-12-09;2190;0.318;4.52;41;1;bag;unknown;6;737;1;247
5000008;100001;Дом;декор;дом_brand_058;mid;2025-02-04;2360;0.058;4.4;29;1;bag;multicolor;6;352;0;382
5000009;100001;Дом;декор;дом_brand_053;low;2025-04-18;650;0.221;4.8;402;1;box;red;4;183;1;1438
5000010;100001;Дом;декор;дом_brand_084;high;2024-09-25;4020;0.087;4.54;227;1;box;red;3;637;0;361
5000011;100001;Дом;посуда;дом_brand_117;mid;2024-09-21;1960;0.285;4.88;20;1;tube;red;6;971;1;478
5000012;100001;Дом;текстиль;дом_brand_010;low;2025-02-24;760;0.131;4.91;140;1;box;white;9;768;0;123
5000013;100001;Дом;декор;дом_brand_030;ultra_low;2024-10-30;310;0.325;4.48;65;1;bag;unknown;5;694;0;390
5000014;100001;Дом;товары для кухни;дом_brand_113;low;2024-08-23;610;0.307;4.57;23;1;bag;multicolor;7;973;0;424
5000015;100001;Дом;хранение;дом_brand_111;low;2024-08-12;950;0.131;4.78;93;1;bag;green;9;469;0;185
5000016;100001;Дом;посуда;дом_brand_099;mid;2025-01-03;2090;0.037;3.99;10;1;box;black;8;380;1;651
5000017;100001;Дом;хранение;дом_brand_041;high;2025-04-22;6750;0.384;5.0;42;1;unknown;green;5;376;0;419
5000018;100001;Дом;хранение;дом_brand_113;mid;2024-11-26;1860;0.27;4.85;192;0;box;unknown;3;731;0;193
5000019;100001;Дом;хранение;дом_brand_111;low;2025-01-05;970;0.248;4.65;80;0;tube;blue;3;770;1;227
5000020;100002;Спорт;одежда спорт;спорт_brand_119;mid;2026-04-21;2440;0.122;4.3;20;1;box;green;7;587;0;4016
5000021;100002;Спорт;фитнес;спорт_brand_073;low;2026-03-11;980;0.249;04.03;0;1;box;red;3;558;0;2117
5000022;100002;Спорт;туризм;спорт_brand_105;high;2026-02-16;7570;0.294;04.05;0;0;box;unknown;8;623;0;634
5000023;100002;Спорт;одежда спорт;спорт_brand_093;low;2026-04-09;1420;0.19;4.65;6;1;bag;beige;3;879;1;128
5000024;100002;Спорт;инвентарь;спорт_brand_107;premium;2026-03-07;12370;0.351;4.28;2;1;bag;green;5;485;1;461
5000025;100002;Спорт;туризм;спорт_brand_051;premium;2026-03-26;12430;0.178;4.69;26;1;bag;red;11;144;0;120
5000026;100002;Спорт;туризм;спорт_brand_025;high;2026-01-02;5320;0.214;5.0;21;1;box;white;8;623;1;241
5000027;100002;Спорт;инвентарь;спорт_brand_023;premium;2026-04-25;11300;0.329;4.19;2;1;unknown;black;5;684;0;718
5000028;100002;Спорт;фитнес;спорт_brand_072;low;2026-01-04;900;0.11;4.32;24;1;box;blue;4;573;0;388
5000029;100002;Спорт;туризм;спорт_brand_040;low;2026-02-18;1450;0.087;4.35;4;1;bag;green;4;642;0;527
5000030;100002;Спорт;туризм;спорт_brand_092;high;2026-02-13;4600;0.307;4.44;11;1;bag;unknown;7;866;0;1568
5000031;100002;Спорт;инвентарь;спорт_brand_119;low;2026-02-09;980;0.414;4.82;3;1;bag;green;5;977;0;634
5000032;100002;Спорт;туризм;спорт_brand_039;low;2026-01-05;960;0.273;3.79;5;1;bag;white;6;812;1;1839
5000033;100002;Спорт;фитнес;спорт_brand_099;mid;2026-02-19;1750;0.199;4.45;1;1;unknown;beige;7;960;1;288
5000034;100002;Спорт;инвентарь;спорт_brand_098;low;2025-12-25;980;0.419;3.77;28;1;box;multicolor;4;669;1;228
5000035;100002;Спорт;инвентарь;спорт_brand_028;mid;2026-01-23;1580;0.228;4.12;1;1;box;multicolor;4;662;1;226
5000036;100002;Спорт;одежда спорт;спорт_brand_050;premium;2026-03-22;12290;0.447;4.49;59;1;box;multicolor;4;502;0;412
5000037;100002;Спорт;одежда спорт;спорт_brand_098;mid;2026-01-22;2590;0.196;4.86;17;1;box;beige;7;816;1;60
5000038;100002;Спорт;инвентарь;спорт_brand_006;mid;2026-01-20;2460;0.092;3.8;4;1;unknown;beige;4;617;1;1121
5000039;100002;Спорт;фитнес;спорт_brand_112;low;2026-02-25;1060;0.255;4.89;0;1;box;black;4;918;0;260
5000040;100002;Спорт;фитнес;спорт_brand_102;high;2026-02-21;5140;0.235;4.22;23;1;box;blue;7;619;1;446
5000041;100002;Спорт;одежда спорт;спорт_brand_102;low;2026-01-05;1450;0.211;4.73;19;1;box;white;7;457;1;297
5000042;100002;Спорт;туризм;спорт_brand_069;mid;2026-03-01;1670;0.04;4.32;9;1;bag;multicolor;6;420;0;392
5000043;100002;Спорт;фитнес;спорт_brand_032;mid;2026-01-22;3590;0.256;4.24;4;1;box;red;7;697;0;174
5000044;100002;Спорт;туризм;спорт_brand_042;low;2026-02-15;800;0.129;4.45;4;1;box;green;11;448;1;675
5000045;100002;Спорт;инвентарь;спорт_brand_098;premium;2026-01-23;11040;0.08;4.5;16;1;bag;unknown;5;221;0;369
5000046;100002;Спорт;фитнес;спорт_brand_016;premium;2025-12-21;11370;0.133;4.47;10;1;blister;red;5;687;1;517
5000047;100002;Спорт;инвентарь;спорт_brand_106;high;2026-04-18;6290;0.101;4.44;4;1;unknown;black;5;411;1;245
5000048;100002;Спорт;одежда спорт;спорт_brand_052;premium;2026-01-07;12810;0.182;4.56;2;1;tube;beige;6;731;0;2342
5000049;100002;Спорт;туризм;спорт_brand_043;low;2026-01-22;1260;0.314;4.0;7;1;box;red;7;788;0;166
5000050;100002;Спорт;фитнес;спорт_brand_052;premium;2026-01-13;10010;0.156;4.18;7;1;bag;beige;6;453;0;425
5000051;100002;Спорт;инвентарь;спорт_brand_027;high;2026-01-08;5890;0.694;4.39;3;1;bag;multicolor;8;859;0;710
5000052;100002;Спорт;инвентарь;спорт_brand_103;premium;2026-04-08;10230;0.464;04.06;7;1;unknown;unknown;8;714;0;268
5000053;100002;Спорт;инвентарь;спорт_brand_016;high;2025-12-18;7520;0.382;4.53;29;1;unknown;green;9;601;0;702
5000054;100002;Спорт;туризм;спорт_brand_079;low;2026-01-26;620;0.471;4.42;4;1;unknown;blue;3;624;0;444
5000055;100002;Спорт;инвентарь;спорт_brand_096;high;2026-02-26;4270;0.23;4.63;4;1;box;unknown;7;40;1;817
5000056;100002;Спорт;фитнес;спорт_brand_058;mid;2026-04-11;2610;0.356;4.98;6;1;tube;black;8;216;0;373
5000057;100002;Спорт;туризм;спорт_brand_061;premium;2026-02-25;12570;0.228;4.36;25;1;box;blue;11;919;0;252
5000058;100002;Спорт;одежда спорт;спорт_brand_082;mid;2026-01-22;2130;0.465;04.01;0;1;box;unknown;7;363;0;586
5000059;100002;Спорт;туризм;спорт_brand_099;mid;2026-02-27;2900;0.087;4.83;5;1;unknown;white;4;679;0;1665
5000060;100002;Спорт;туризм;спорт_brand_030;high;2026-01-21;5550;0.152;4.92;38;1;box;multicolor;12;717;1;561
5000061;100002;Спорт;инвентарь;спорт_brand_036;mid;2026-01-29;3820;0.193;4.38;15;1;blister;white;3;902;1;328
5000062;100002;Спорт;одежда спорт;спорт_brand_083;high;2026-01-25;8180;0.14;4.34;4;1;bag;green;6;759;0;424
5000063;100002;Спорт;одежда спорт;спорт_brand_060;mid;2026-03-23;2680;0.129;4.8;3;1;blister;red;7;603;1;347
5000064;100002;Спорт;одежда спорт;спорт_brand_050;low;2025-12-27;700;0.265;4.47;175;1;tube;black;5;643;0;858
5000065;100002;Спорт;инвентарь;спорт_brand_101;high;2026-02-19;5910;0.473;4.37;32;1;bag;green;6;641;1;321
5000066;100002;Спорт;инвентарь;спорт_brand_023;low;2026-04-25;670;0.326;4.38;5;1;blister;red;6;916;0;906
5000067;100002;Спорт;фитнес;спорт_brand_103;low;2026-04-12;540;0.425;4.48;4;1;box;blue;6;380;1;305
5000068;100002;Спорт;туризм;спорт_brand_001;mid;2026-04-13;2480;0.139;4.22;10;1;box;blue;8;737;0;304
5000069;100002;Спорт;фитнес;спорт_brand_029;premium;2026-01-20;9300;0.302;4.22;18;1;blister;beige;8;536;0;2183
5000070;100002;Спорт;инвентарь;спорт_brand_057;premium;2026-02-14;10420;0.233;4.88;10;1;bag;multicolor;6;302;1;536
5000071;100002;Спорт;фитнес;спорт_brand_028;low;2026-02-24;1250;0.178;4.43;5;1;box;beige;4;304;1;527
5000072;100002;Спорт;инвентарь;спорт_brand_059;mid;2026-02-07;1850;0.411;3.92;51;1;blister;white;5;551;1;731
5000073;100003;Обувь;сапоги;обувь_brand_115;high;2025-10-16;5760;0.226;04.09;48;1;unknown;red;3;365;0;276
5000074;100003;Обувь;сандалии;обувь_brand_029;high;2026-02-20;4400;0.437;3.79;4;1;unknown;multicolor;8;826;1;288
5000075;100003;Обувь;кроссовки;обувь_brand_057;mid;2025-06-16;2420;0.101;4.73;35;1;bag;beige;3;869;1;108
5000076;100003;Обувь;ботинки;обувь_brand_094;mid;2025-04-15;1600;0.181;04.03;67;1;blister;green;6;438;1;5756
5000077;100003;Обувь;кроссовки;обувь_brand_088;high;2025-12-04;4580;0.132;4.46;32;1;box;blue;3;630;0;182
5000078;100003;Обувь;кроссовки;обувь_brand_100;high;2025-06-01;7440;0.362;4.26;2;1;box;red;6;567;0;1047
5000079;100003;Обувь;ботинки;обувь_brand_118;mid;2025-03-13;2420;0.216;3.8;38;1;box;multicolor;8;461;1;223
5000080;100003;Обувь;туфли;обувь_brand_091;high;2025-10-27;4870;0.29;3.82;70;1;blister;unknown;5;183;1;522
5000081;100003;Обувь;туфли;обувь_brand_096;premium;2025-12-03;10560;0.059;3.66;93;1;bag;black;7;976;0;193
5000082;100003;Обувь;ботинки;обувь_brand_015;mid;2025-09-08;2540;0.605;4.43;17;1;box;green;11;622;0;511
5000083;100003;Обувь;сандалии;обувь_brand_014;mid;2025-10-17;2220;0.205;04.09;2;1;box;multicolor;7;869;0;6324
5000084;100003;Обувь;кроссовки;обувь_brand_066;premium;2025-09-29;10790;0.213;3.83;9;1;unknown;unknown;6;893;1;778
5000085;100003;Обувь;туфли;обувь_brand_058;mid;2025-04-24;2700;0.224;3.45;3;1;blister;green;5;778;0;567
5000086;100003;Обувь;кроссовки;обувь_brand_070;high;2025-08-27;7590;0.384;4.12;111;1;bag;black;11;685;0;373
5000087;100003;Обувь;сапоги;обувь_brand_100;mid;2025-07-05;2770;0.156;3.96;15;1;bag;blue;7;837;0;651
5000088;100003;Обувь;сапоги;обувь_brand_017;mid;2025-10-03;2250;0.232;4.58;63;1;bag;unknown;9;609;0;146
5000089;100003;Обувь;ботинки;обувь_brand_010;high;2025-12-18;5460;0.042;4.24;24;1;unknown;blue;8;693;1;1680
5000090;100003;Обувь;сапоги;обувь_brand_002;high;2025-08-25;6490;0.282;04.05;59;1;bag;beige;8;797;0;801
5000091;100003;Обувь;ботинки;обувь_brand_039;premium;2026-01-30;9890;0.139;3.26;3;1;bag;green;7;604;0;158
5000092;100003;Обувь;кроссовки;обувь_brand_008;high;2025-04-17;7370;0.54;04.04;23;1;box;beige;4;878;0;756
5000093;100003;Обувь;туфли;обувь_brand_023;high;2025-06-03;4230;0.111;4.13;8;1;bag;white;9;699;0;1388
5000094;100003;Обувь;сандалии;обувь_brand_096;high;2025-03-22;6520;0.11;3.77;19;1;box;red;5;430;0;414
5000095;100003;Обувь;кроссовки;обувь_brand_057;high;2025-04-20;7960;0.38;4.52;68;1;unknown;white;2;789;0;207
5000096;100003;Обувь;сандалии;обувь_brand_084;mid;2026-01-09;1960;0.454;4.0;14;1;bag;unknown;6;1183;0;2380
5000097;100003;Обувь;ботинки;обувь_brand_028;mid;2025-04-11;2130;0.281;3.67;5;1;bag;blue;5;40;0;330
5000098;100003;Обувь;сапоги;обувь_brand_045;mid;2025-03-21;1530;0.335;4.24;49;1;tube;white;8;638;1;1118
5000099;100003;Обувь;сандалии;обувь_brand_027;premium;2025-04-04;11400;0.499;3.95;66;0;box;red;4;441;0;1028
5000100;100003;Обувь;кроссовки;обувь_brand_097;high;2025-10-10;6170;0.503;3.79;8;1;unknown;green;3;691;1;223
5000101;100003;Обувь;сапоги;обувь_brand_068;high;2025-08-10;4700;0.165;3.78;23;1;unknown;multicolor;4;608;0;1266
5000102;100003;Обувь;кроссовки;обувь_brand_111;high;2025-06-03;4620;0.433;4.13;227;1;bag;white;5;851;0;618
5000103;100003;Обувь;сапоги;обувь_brand_014;mid;2025-06-22;3010;0.087;4.27;11;1;tube;green;7;611;0;99
5000104;100003;Обувь;сандалии;обувь_brand_093;high;2025-04-27;4150;0.313;4.19;49;1;tube;multicolor;4;583;0;397
5000105;100003;Обувь;туфли;обувь_brand_115;high;2025-04-16;7080;0.356;4.29;6;1;bag;green;5;551;0;679
5000106;100004;Электроника;мелкая техника;электроника_brand_013;low;2024-03-10;1480;0.09;4.8;45;1;tube;blue;6;538;1;321
