Column1;dt;sku_id;seller_id;category_main;price_today;discount_share;organic_impressions;organic_clicks;product_page_views;add_to_cart;organic_orders;organic_gmv;orders_total;gmv_total;margin_total;stock_units_end;stockout_flag;regional_availability_score;page_load_ms;search_result_position_avg;support_mentions_cnt
0;09.12.2024;5124963;102926;Одежда;515.79;0.479;16;1;2;1;0;0.0;0;0.0;0.0;306;0;0.516;962;67.0;0
1;10.12.2024;5124963;102926;Одежда;515.79;0.479;11;0;4;0;0;0.0;0;0.0;0.0;306;0;0.523;881;15.7;0
2;11.12.2024;5124963;102926;Одежда;515.79;0.479;31;0;8;1;1;515.79;1;515.79;49.75;305;0;0.387;942;62.6;0
3;12.12.2024;5124963;102926;Одежда;515.79;0.479;10;0;4;1;1;515.79;1;515.79;49.75;304;0;0.503;630;37.2;0
4;13.12.2024;5124963;102926;Одежда;515.79;0.479;13;0;4;1;0;0.0;0;0.0;0.0;304;0;0.593;908;22.5;0
5;14.12.2024;5124963;102926;Одежда;515.79;0.479;14;1;2;0;0;0.0;0;0.0;0.0;304;0;0.552;827;64.2;0
6;15.12.2024;5124963;102926;Одежда;515.79;0.479;25;1;10;0;0;0.0;0;0.0;0.0;304;0;0.504;674;55.6;0
7;16.12.2024;5124963;102926;Одежда;515.79;0.479;37;1;14;1;0;0.0;0;0.0;0.0;304;0;0.568;863;1.0;0
8;17.12.2024;5124963;102926;Одежда;515.79;0.479;35;0;9;0;0;0.0;0;0.0;0.0;304;0;0.475;634;38.5;0
9;18.12.2024;5124963;102926;Одежда;515.79;0.479;17;0;3;0;0;0.0;0;0.0;0.0;304;0;0.484;881;66.6;0
10;19.12.2024;5124963;102926;Одежда;515.79;0.479;27;1;11;1;0;0.0;0;0.0;0.0;304;0;0.536;1106;27.0;0
11;20.12.2024;5124963;102926;Одежда;515.79;0.479;21;0;4;0;0;0.0;0;0.0;0.0;304;0;0.577;755;30.8;0
12;21.12.2024;5124963;102926;Одежда;515.79;0.479;21;1;4;1;0;0.0;0;0.0;0.0;304;0;0.604;954;1.0;0
13;22.12.2024;5124963;102926;Одежда;515.79;0.479;17;2;9;0;0;0.0;0;0.0;0.0;304;0;0.558;1020;39.0;0
14;23.12.2024;5124963;102926;Одежда;515.79;0.479;32;0;11;0;0;0.0;0;0.0;0.0;304;0;0.449;973;28.6;0
15;24.12.2024;5124963;102926;Одежда;515.79;0.479;11;0;5;0;0;0.0;0;0.0;0.0;304;0;0.428;914;61.2;0
16;25.12.2024;5124963;102926;Одежда;515.79;0.479;46;0;15;2;0;0.0;0;0.0;0.0;304;0;0.544;738;67.3;0
17;26.12.2024;5124963;102926;Одежда;515.79;0.479;14;2;2;0;0;0.0;0;0.0;0.0;304;0;0.644;584;62.5;0
18;27.12.2024;5124963;102926;Одежда;515.79;0.479;37;3;10;0;0;0.0;1;515.79;49.75;303;0;0.526;1151;35.2;0
19;28.12.2024;5124963;102926;Одежда;515.79;0.479;52;4;11;0;0;0.0;0;0.0;0.0;303;0;0.501;841;67.2;0
20;29.12.2024;5124963;102926;Одежда;515.79;0.479;33;0;10;1;0;0.0;0;0.0;0.0;303;0;0.734;993;33.2;0
21;30.12.2024;5124963;102926;Одежда;515.79;0.479;38;1;8;0;0;0.0;0;0.0;0.0;303;0;0.501;1130;52.0;0
22;31.12.2024;5124963;102926;Одежда;515.79;0.479;42;1;10;0;0;0.0;0;0.0;0.0;303;0;0.499;604;49.6;0
23;01.01.2025;5124963;102926;Одежда;515.79;0.479;15;0;4;0;0;0.0;0;0.0;0.0;303;0;0.523;934;70.2;0
24;02.01.2025;5124963;102926;Одежда;515.79;0.479;32;3;15;0;0;0.0;0;0.0;0.0;303;0;0.425;1086;34.2;0
25;03.01.2025;5124963;102926;Одежда;515.79;0.479;26;1;6;0;0;0.0;0;0.0;0.0;303;0;0.642;500;51.7;0
26;04.01.2025;5124963;102926;Одежда;515.79;0.479;53;3;15;2;0;0.0;0;0.0;0.0;303;0;0.515;1471;1.0;0
27;05.01.2025;5124963;102926;Одежда;515.79;0.479;28;2;12;1;0;0.0;0;0.0;0.0;303;0;0.484;938;36.8;0
28;06.01.2025;5124963;102926;Одежда;515.79;0.479;18;2;3;0;0;0.0;0;0.0;0.0;303;0;0.661;846;50.1;0
29;07.01.2025;5124963;102926;Одежда;515.79;0.479;51;4;10;0;0;0.0;0;0.0;0.0;303;0;0.598;150;71.4;0
30;08.01.2025;5124963;102926;Одежда;515.79;0.479;17;2;6;2;0;0.0;0;0.0;0.0;303;0;0.464;1239;23.4;0
