S;event_time;event_type;user_id;sku_id;seller_id;category_main;utm_source;utm_campaign;order_id;order_gmv;dt;session_id;event_source_system
1;22.12.2025 08:25;product_impression;9108281;5108555;102563;Дом;;;;0.0;22.12.2025;sess_9108281_0;app
2;22.12.2025 13:45;product_impression;9056767;5108555;102563;Дом;;;;0.0;22.12.2025;sess_9056767_0;mweb
3;22.12.2025 12:33;product_impression;9054293;5108555;102563;Дом;;;;0.0;22.12.2025;sess_9054293_0;web
4;22.12.2025 10:20;product_impression;9044599;5108555;102563;Дом;;;;0.0;22.12.2025;sess_9044599_0;app
5;22.12.2025 18:47;product_impression;9074503;5108555;102563;Дом;;;;0.0;22.12.2025;sess_9074503_0;app
6;22.12.2025 21:32;product_impression;9077533;5108555;102563;Дом;;;;0.0;22.12.2025;sess_9077533_0;app
7;22.12.2025 19:20;product_click;9108281;5108555;102563;Дом;;;;0.0;22.12.2025;sess_9108281_0;app
8;22.12.2025 12:29;product_click;9056767;5108555;102563;Дом;;;;0.0;22.12.2025;sess_9056767_0;app
9;22.12.2025 10:10;product_click;9054293;5108555;102563;Дом;;;;0.0;22.12.2025;sess_9054293_0;app
10;22.12.2025 17:40;product_click;9044599;5108555;102563;Дом;;;;0.0;22.12.2025;sess_9044599_0;mweb
11;22.12.2025 13:10;product_click;9074503;5108555;102563;Дом;;;;0.0;22.12.2025;sess_9074503_0;app
12;22.12.2025 13:56;product_page_view;9108281;5108555;102563;Дом;;;;0.0;22.12.2025;sess_9108281_0;app
13;22.12.2025 14:46;product_page_view;9056767;5108555;102563;Дом;;;;0.0;22.12.2025;sess_9056767_0;app
14;22.12.2025 10:12;product_page_view;9054293;5108555;102563;Дом;;;;0.0;22.12.2025;sess_9054293_0;app
15;22.12.2025 15:15;product_page_view;9044599;5108555;102563;Дом;;;;0.0;22.12.2025;sess_9044599_0;app
16;22.12.2025 12:56;product_page_view;9074503;5108555;102563;Дом;;;;0.0;22.12.2025;sess_9074503_0;app
17;22.12.2025 10:19;add_to_cart;9108281;5108555;102563;Дом;;;;0.0;22.12.2025;sess_9108281_0;web
18;22.12.2025 22:11;add_to_cart;9056767;5108555;102563;Дом;;;;0.0;22.12.2025;sess_9056767_0;mweb
19;22.12.2025 12:45;add_to_cart;9054293;5108555;102563;Дом;;;;0.0;22.12.2025;sess_9054293_0;app
20;22.12.2025 19:28;purchase;9108281;5108555;102563;Дом;organic;;ord_20;1978.28;22.12.2025;sess_9108281_0;app
21;20.07.2025 11:00;product_impression;9043897;5011627;100288;Красота;;;;0.0;20.07.2025;sess_9043897_0;app
22;20.07.2025 18:09;product_impression;9037788;5011627;100288;Красота;;;;0.0;20.07.2025;sess_9037788_0;app
23;20.07.2025 15:44;product_impression;9119813;5011627;100288;Красота;;;;0.0;20.07.2025;sess_9119813_0;mweb
24;20.07.2025 13:24;product_impression;9072096;5011627;100288;Красота;;;;0.0;20.07.2025;sess_9072096_0;mweb
25;20.07.2025 15:24;product_click;9043897;5011627;100288;Красота;;;;0.0;20.07.2025;sess_9043897_0;app
26;20.07.2025 15:40;product_click;9037788;5011627;100288;Красота;;;;0.0;20.07.2025;sess_9037788_0;web
27;20.07.2025 12:17;product_click;9119813;5011627;100288;Красота;;;;0.0;20.07.2025;sess_9119813_0;web
28;20.07.2025 20:09;product_click;9072096;5011627;100288;Красота;;;;0.0;20.07.2025;sess_9072096_0;mweb
29;20.07.2025 08:30;product_page_view;9043897;5011627;100288;Красота;;;;0.0;20.07.2025;sess_9043897_0;app
30;20.07.2025 13:31;product_page_view;9037788;5011627;100288;Красота;;;;0.0;20.07.2025;sess_9037788_0;app
31;20.07.2025 14:45;product_page_view;9119813;5011627;100288;Красота;;;;0.0;20.07.2025;sess_9119813_0;web
32;20.07.2025 19:03;product_page_view;9072096;5011627;100288;Красота;;;;0.0;20.07.2025;sess_9072096_0;mweb
33;20.07.2025 22:47;add_to_cart;9043897;5011627;100288;Красота;;;;0.0;20.07.2025;sess_9043897_0;app
34;20.07.2025 15:17;add_to_cart;9037788;5011627;100288;Красота;;;;0.0;20.07.2025;sess_9037788_0;app
35;20.07.2025 19:39;add_to_cart;9119813;5011627;100288;Красота;;;;0.0;20.07.2025;sess_9119813_0;app
36;20.07.2025 22:49;add_to_cart;9072096;5011627;100288;Красота;;;;0.0;20.07.2025;sess_9072096_0;app
37;20.07.2025 19:44;purchase;9043897;5011627;100288;Красота;organic;;ord_37;1057.02;20.07.2025;sess_9043897_0;mweb
38;14.04.2026 16:55;product_impression;9112357;5059109;101393;Красота;;;;0.0;14.04.2026;sess_9112357_0;mweb
39;14.04.2026 19:57;product_impression;9088787;5059109;101393;Красота;;;;0.0;14.04.2026;sess_9088787_0;app
40;14.04.2026 13:32;product_impression;9018134;5059109;101393;Красота;;;;0.0;14.04.2026;sess_9018134_0;app
41;14.04.2026 10:21;product_impression;9099061;5059109;101393;Красота;;;;0.0;14.04.2026;sess_9099061_0;app
42;14.04.2026 21:12;product_impression;9071516;5059109;101393;Красота;;;;0.0;14.04.2026;sess_9071516_0;app
43;14.04.2026 11:22;product_impression;9096764;5059109;101393;Красота;;;;0.0;14.04.2026;sess_9096764_0;app
44;14.04.2026 15:23;product_click;9112357;5059109;101393;Красота;;;;0.0;14.04.2026;sess_9112357_0;web
45;14.04.2026 11:39;product_click;9088787;5059109;101393;Красота;;;;0.0;14.04.2026;sess_9088787_0;app
46;14.04.2026 08:01;product_click;9018134;5059109;101393;Красота;;;;0.0;14.04.2026;sess_9018134_0;app
47;14.04.2026 10:42;product_click;9099061;5059109;101393;Красота;;;;0.0;14.04.2026;sess_9099061_0;web
48;14.04.2026 16:34;product_page_view;9112357;5059109;101393;Красота;;;;0.0;14.04.2026;sess_9112357_0;web
49;14.04.2026 09:33;product_page_view;9088787;5059109;101393;Красота;;;;0.0;14.04.2026;sess_9088787_0;app
50;14.04.2026 17:16;product_page_view;9018134;5059109;101393;Красота;;;;0.0;14.04.2026;sess_9018134_0;app
51;14.04.2026 14:41;product_page_view;9099061;5059109;101393;Красота;;;;0.0;14.04.2026;sess_9099061_0;app
52;14.04.2026 11:35;product_page_view;9071516;5059109;101393;Красота;;;;0.0;14.04.2026;sess_9071516_0;app
53;14.04.2026 09:55;product_page_view;9096764;5059109;101393;Красота;;;;0.0;14.04.2026;sess_9096764_0;app
54;14.04.2026 12:03;product_page_view;9034236;5059109;101393;Красота;;;;0.0;14.04.2026;sess_9034236_0;app
55;14.04.2026 17:05;add_to_cart;9112357;5059109;101393;Красота;;;;0.0;14.04.2026;sess_9112357_0;app
56;14.04.2026 22:31;add_to_cart;9088787;5059109;101393;Красота;;;;0.0;14.04.2026;sess_9088787_0;mweb
57;14.04.2026 20:03;add_to_cart;9018134;5059109;101393;Красота;;;;0.0;14.04.2026;sess_9018134_0;app
58;09.06.2025 17:23;product_impression;9108167;5007553;100188;Красота;;;;0.0;09.06.2025;sess_9108167_0;app
59;09.06.2025 11:35;product_impression;9079417;5007553;100188;Красота;;;;0.0;09.06.2025;sess_9079417_0;app
60;09.06.2025 12:53;product_impression;9010721;5007553;100188;Красота;;;;0.0;09.06.2025;sess_9010721_0;app
61;09.06.2025 10:56;product_impression;9099179;5007553;100188;Красота;;;;0.0;09.06.2025;sess_9099179_0;app
62;09.06.2025 18:46;product_click;9108167;5007553;100188;Красота;;;;0.0;09.06.2025;sess_9108167_0;app
63;09.06.2025 20:59;product_page_view;9108167;5007553;100188;Красота;;;;0.0;09.06.2025;sess_9108167_0;app
64;09.06.2025 21:37;product_page_view;9079417;5007553;100188;Красота;;;;0.0;09.06.2025;sess_9079417_0;app
65;09.06.2025 12:32;product_page_view;9010721;5007553;100188;Красота;;;;0.0;09.06.2025;sess_9010721_0;app
66;09.06.2025 19:35;product_page_view;9099179;5007553;100188;Красота;;;;0.0;09.06.2025;sess_9099179_0;app
67;09.06.2025 16:56;product_page_view;9081714;5007553;100188;Красота;;;;0.0;09.06.2025;sess_9081714_0;app
68;28.04.2026 19:39;product_impression;9032278;5004685;100117;Электроника;;;;0.0;28.04.2026;sess_9032278_0;app
69;28.04.2026 10:40;product_impression;9099960;5004685;100117;Электроника;;;;0.0;28.04.2026;sess_9099960_0;app
