Column1;user_id;user_registration_dt;platform;region_cluster;gender;age;push_enabled_flag;fav_category_1;fav_category_2;fav_category_3;last_purchase_dt;frequency_orders;monetary_sum;avg_order_value;recency_days;app_version;device_price_bucket;email_subscribed_flag;dark_theme_flag
0;9000001;22.07.2025;Android;Центр;female;23;1;Дом;Одежда;Красота;24.01.2026;1;596.75;596.75;96;7.4;mid;0;0
1;9000002;09.04.2026;Android;Поволжье;male;40;1;Обувь;Обувь;Красота;;0;0.0;0.0;999;8.1;mid;0;1
2;9000003;06.11.2023;iOS;Поволжье;female;48;1;Красота;Одежда;Одежда;;0;0.0;0.0;999;7.4;low;0;0
3;9000004;18.07.2025;Android;Дальний Восток;male;36;1;Аксессуары;Детские товары;Обувь;07.04.2026;1;1299.2;1299.2;23;7.2;low;0;0
4;9000005;16.01.2026;Android;Урал;male;34;0;Аксессуары;Дом;Обувь;;0;0.0;0.0;999;7.3;high;1;0
5;9000006;13.08.2025;Android;Сибирь;male;33;1;Канцелярия;Обувь;Одежда;;0;0.0;0.0;999;7.4;low;0;1
6;9000007;05.06.2025;iOS;Центр;female;30;1;Красота;Товары для животных;Одежда;16.01.2026;2;2482.94;1241.47;104;8.0;high;1;1
7;9000008;16.04.2023;Android;Дальний Восток;male;22;0;Товары для животных;Одежда;Одежда;;0;0.0;0.0;999;8.0;unknown;1;0
8;9000009;22.11.2025;Android;Поволжье;female;38;1;Одежда;Товары для животных;Спорт;23.04.2026;2;2750.44;1375.22;7;7.2;low;0;1
9;9000010;31.08.2024;Android;Сибирь;female;46;1;Электроника;Канцелярия;Дом;15.09.2025;1;44.56;44.56;227;7.4;low;0;0
10;9000011;19.12.2024;Android;Центр;female;31;1;Спорт;Канцелярия;Товары для животных;03.03.2026;2;387.49;193.745;58;7.4;high;1;0
11;9000012;23.08.2025;Android;Москва и МО;female;22;0;Детские товары;Красота;Одежда;11.02.2026;2;1434.92;717.46;78;7.3;low;1;0
12;9000013;25.11.2025;iOS;Дальний Восток;female;27;1;Товары для животных;Электроника;Электроника;;0;0.0;0.0;999;8.0;mid;0;1
13;9000014;10.07.2025;iOS;Юг;male;39;1;Дом;Одежда;Детские товары;21.04.2026;1;417.3;417.3;9;8.0;mid;0;0
14;9000015;05.11.2024;Web;Центр;female;33;0;Обувь;Детские товары;Электроника;13.01.2026;1;340.86;340.86;107;7.3;unknown;1;0
15;9000016;09.01.2025;iOS;Сибирь;male;55;1;Дом;Детские товары;Дом;25.03.2026;1;469.04;469.04;36;7.4;low;1;0
16;9000017;20.07.2024;iOS;Москва и МО;female;34;1;Одежда;Одежда;Электроника;19.04.2025;1;611.52;611.52;376;7.4;unknown;1;1
17;9000018;15.04.2025;Web;Москва и МО;unknown;54;1;Дом;Спорт;Красота;26.06.2025;1;699.3;699.3;308;7.2;low;0;1
18;9000019;21.11.2025;iOS;Москва и МО;female;33;1;Электроника;Дом;Детские товары;;0;0.0;0.0;999;7.4;mid;1;0
19;9000020;13.01.2026;iOS;Сибирь;female;51;1;Спорт;Аксессуары;Одежда;;0;0.0;0.0;999;7.1;high;1;0
20;9000021;08.01.2026;iOS;Москва и МО;male;40;1;Спорт;Красота;Дом;;0;0.0;0.0;999;7.3;mid;1;0
21;9000022;08.01.2025;Android;Москва и МО;male;43;1;Канцелярия;Товары для животных;Спорт;01.02.2026;3;1165.81;388.6033333333333;88;7.2;high;0;0
22;9000023;09.07.2023;Android;Центр;female;48;1;Дом;Электроника;Товары для животных;;0;0.0;0.0;999;8.0;mid;1;0
23;9000024;26.09.2024;Android;Москва и МО;male;41;1;Одежда;Красота;Красота;05.03.2026;2;5834.54;2917.27;56;7.4;mid;1;1
24;9000025;02.01.2024;Web;Урал;male;28;1;Спорт;Детские товары;Одежда;;0;0.0;0.0;999;7.3;low;1;1
25;9000026;29.12.2022;Android;Урал;female;21;1;Одежда;Обувь;Одежда;;0;0.0;0.0;999;7.4;mid;0;0
26;9000027;21.12.2022;iOS;Юг;unknown;38;1;Детские товары;Товары для животных;Дом;29.04.2026;1;567.06;567.06;1;8.1;high;1;1
27;9000028;14.12.2024;iOS;Поволжье;unknown;45;1;Спорт;Обувь;Дом;10.10.2025;2;9483.76;4741.88;202;8.0;unknown;1;0
28;9000029;26.08.2024;Android;Поволжье;female;21;0;Аксессуары;Спорт;Электроника;15.11.2025;3;5459.7;1819.9;166;7.2;high;1;0
29;9000030;11.09.2023;Android;Центр;female;28;1;Обувь;Красота;Дом;10.05.2025;2;2320.67;1160.335;355;8.0;mid;1;0
30;9000031;07.12.2023;Android;Юг;male;18;1;Дом;Одежда;Детские товары;07.12.2025;3;5300.540000000001;1766.846666666667;144;8.0;mid;1;1
31;9000032;19.09.2025;Android;Сибирь;male;60;1;Одежда;Товары для животных;Красота;11.04.2026;4;3886.6;971.65;19;7.1;unknown;1;0
32;9000033;09.03.2026;iOS;Санкт-Петербург;female;30;0;Дом;Одежда;Аксессуары;;0;0.0;0.0;999;8.0;low;1;1
33;9000034;12.04.2024;iOS;Москва и МО;male;40;1;Дом;Одежда;Одежда;;0;0.0;0.0;999;7.4;high;0;0
34;9000035;08.11.2023;Web;Сибирь;male;41;1;Одежда;Аксессуары;Дом;01.02.2026;4;9169.02;2292.255;88;7.3;mid;0;0
35;9000036;16.07.2025;Android;Дальний Восток;male;16;0;Обувь;Электроника;Товары для животных;;0;0.0;0.0;999;8.0;mid;0;1
36;9000037;11.12.2022;iOS;Москва и МО;male;50;1;Спорт;Одежда;Одежда;06.02.2025;1;1135.35;1135.35;448;7.1;mid;0;0
37;9000038;16.08.2025;Web;Урал;female;34;1;Детские товары;Одежда;Товары для животных;;0;0.0;0.0;999;8.1;mid;0;1
38;9000039;06.03.2025;Web;Москва и МО;female;42;0;Товары для животных;Одежда;Канцелярия;21.06.2025;1;360.8;360.8;313;7.1;mid;0;0
39;9000040;25.02.2023;iOS;Центр;female;46;1;Красота;Аксессуары;Электроника;01.05.2025;2;9331.71;4665.8550000000005;364;7.4;low;0;0
40;9000041;21.09.2024;Android;Санкт-Петербург;female;27;1;Дом;Красота;Одежда;01.09.2025;2;3386.8;1693.4;241;8.1;low;0;0
41;9000042;16.07.2024;Web;Санкт-Петербург;female;40;0;Одежда;Дом;Дом;16.08.2025;4;6977.14;1744.285;257;8.1;mid;1;1
42;9000043;22.07.2025;iOS;Москва и МО;female;47;1;Дом;Одежда;Красота;26.01.2026;1;1870.39;1870.39;94;8.0;mid;0;0
43;9000044;06.01.2024;Android;Сибирь;female;36;1;Обувь;Электроника;Дом;;0;0.0;0.0;999;7.4;mid;1;0
44;9000045;24.09.2024;Web;Юг;female;31;1;Дом;Одежда;Электроника;31.05.2025;1;2576.64;2576.64;334;7.4;high;1;0
45;9000046;04.11.2025;iOS;Центр;unknown;35;1;Аксессуары;Электроника;Обувь;;0;0.0;0.0;999;7.4;high;1;1
46;9000047;03.07.2024;Android;Поволжье;male;30;1;Одежда;Детские товары;Одежда;31.05.2025;1;3169.66;3169.66;334;7.4;low;1;1
47;9000048;25.02.2026;Web;Центр;male;55;0;Товары для животных;Одежда;Одежда;;0;0.0;0.0;999;8.1;high;0;0
